productName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL 
 Lenovo V15 Ryzen 5 Hexa Core 5500U,4.3,83,13,34990,69525,AMD Ryzen 5 Hexa Core Processor,DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/d/i/-original-imagzhefhc84rmbf.jpeg?q=70 
 ASUS Vivobook Go 15 Celeron Dual Core,4,75,4,27990,38990,Intel Celeron Dual Core Processor,DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/n/w/-original-imagqs9vc7ecv4vj.jpeg?q=70 
 Lenovo IdeaPad 3 Core i3 12th Gen,4,81,9,40990,67090,Intel Core i3 Processor (12th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/m/2/-original-imagpa5gadtkbm6y.jpeg?q=70 
 Primebook 4G Android Based MediaTek MT8788,4,1022,326,16990,24990,MediaTek MediaTek MT8788 Processor,LPDDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70 
 MSI Core i5 11th Gen,4.3,1033,99,49990,67990,Intel Core i5 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70 
 HP Ryzen 5 Hexa Core 5500U,4.3,2506,244,44490,55691,AMD Ryzen 5 Hexa Core Processor,DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/p/9/-original-imagp7pfnchrzxhr.jpeg?q=70 
 Infinix INBook X2 Plus Core i3 11th Gen,4.1,381,71,30990,44990,Intel Core i3 Processor (11th Gen),LPDDR4X RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/e/n/-original-imagjfgfjnwnq89g.jpeg?q=70 
 Primebook 4G Android Based MediaTek MT8788,4,1022,326,13990,24990,MediaTek MediaTek MT8788 Processor,LPDDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/y/s/-original-imagn9s6z2qmxmem.jpeg?q=70 
 Primebook 4G Android Based MediaTek MT8788,4,224,72,18990,27990,MediaTek MediaTek MT8788 Processor,LPDDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70 
 ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U,4.2,553,78,35990,50990,AMD Ryzen 3 Quad Core Processor,LPDDR5 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/u/p/-original-imagpxgrxrqsmdqz.jpeg?q=70 
 Infinix X1 Slim Series Core i5 10th Gen,4.1,845,126,36990,59999,Intel Core i5 Processor (10th Gen),LPDDR4X RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/l44hyfk0/computer/q/3/9/-original-imagf39qg32keh2h.jpeg?q=70 
 Acer Aspire Core i3 12th Gen,4.2,170,14,37990,48999,Intel Core i3 Processor (12th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/v/h/-original-imagqbudxbf9djaz.jpeg?q=70 
 ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U,4.2,553,78,35990,50990,AMD Ryzen 3 Quad Core Processor,LPDDR5 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/h/s/-original-imagpxgqj6x2zkhe.jpeg?q=70 
 Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,4.3,2095,218,47990,86290,AMD Ryzen 5 Hexa Core Processor,DDR4 RAM,16 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70 
 Lenovo Ryzen 3 Quad Core 7320U,0,0,0,39990,59390,AMD Ryzen 3 Quad Core Processor,LPDDR5 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/u/x/15amn7-thin-and-light-laptop-lenovo-original-imagz3rwynfugcnz.jpeg?q=70 
 Lenovo IdeaPad 3 Core i3 11th Gen,4.1,99,9,34990,60090,Intel Core i3 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/ky90scw0/computer/k/7/k/ideapad-slim-82h801lgin-laptop-lenovo-original-imagagrpkzaxrcdc.jpeg?q=70 
 Infinix INBook Y1 Plus Intel Core i3 10th Gen,4.2,2022,320,27990,44990,Intel Core i3 Processor (10th Gen),LPDDR4X RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/u/k/-original-imagmxuravjcmdwu.jpeg?q=70 
 Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,2095,218,46948,68990,AMD Ryzen 5 Hexa Core Processor,DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70 
